Date, Open, High, Low, Close
02/07/84, 158.74, 158.81, 157.01, 158.74
02/06/84, 158.08, 160.91, 158.02, 158.08
02/03/84, 160.91, 163.98, 160.82, 160.91
02/02/84, 163.36, 163.36, 162.24, 163.36
02/01/84, 162.74, 164.00, 162.27, 162.74
01/31/84, 163.41, 163.60, 162.03, 163.41
01/30/84, 162.87, 164.67, 162.40, 162.87
01/27/84, 163.94, 164.33, 163.07, 163.94
01/26/84, 164.24, 165.55, 164.12, 164.24
01/25/84, 164.84, 167.12, 164.74, 164.84
01/24/84, 165.94, 166.35, 164.84, 165.94
01/23/84, 164.87, 166.21, 164.83, 164.87
01/20/84, 166.21, 167.06, 165.87, 166.21
01/19/84, 167.04, 167.65, 166.67, 167.04
01/18/84, 167.55, 168.34, 167.02, 167.55
01/17/84, 167.83, 167.84, 167.01, 167.83
01/16/84, 167.18, 167.55, 166.77, 167.18
01/13/84, 167.02, 168.52, 166.82, 167.02
01/12/84, 167.75, 167.91, 167.68, 167.75
01/11/84, 167.79, 167.58, 167.33, 167.79
01/10/84, 167.95, 169.52, 168.64, 167.95
01/09/84, 168.90, 169.46, 168.48, 168.90
01/06/84, 169.28, 169.31, 168.49, 169.28
01/05/84, 168.81, 169.10, 166.78, 168.81
01/04/84, 166.78, 166.78, 164.04, 166.78
01/03/84, 164.04, 164.93, 163.98, 164.04
12/30/83, 164.93, 165.93, 163.53, 164.93
12/29/83, 164.86, 166.67, 163.97, 164.86
12/28/83, 165.34, 166.26, 163.44, 165.34
12/27/83, 164.76, 165.40, 162.82, 164.76
12/23/83, 163.22, 163.19, 162.96, 163.22
12/22/83, 163.27, 165.08, 162.11, 163.27
12/21/83, 163.56, 164.50, 161.38, 163.56
12/20/83, 162.00, 163.53, 160.87, 162.00
12/19/83, 162.32, 162.81, 162.46, 162.32
12/16/83, 162.39, 163.30, 160.61, 162.39
12/15/83, 161.67, 163.90, 160.91, 161.67
12/14/83, 163.33, 165.67, 162.52, 163.33
12/13/83, 164.93, 166.58, 163.94, 164.93
12/12/83, 165.62, 166.63, 163.97, 165.62
12/09/83, 165.09, 166.33, 163.55, 165.09
12/08/83, 165.20, 165.93, 164.02, 165.20
12/07/83, 165.91, 167.15, 164.31, 165.91
12/06/83, 165.47, 167.06, 164.38, 165.47
12/05/83, 165.77, 166.75, 163.73, 165.77
12/02/83, 165.54, 167.55, 164.44, 165.54
12/01/83, 166.49, 167.85, 164.82, 166.49
11/30/83, 166.40, 169.06, 165.69, 166.40
11/29/83, 167.91, 168.58, 165.38, 167.91
11/28/83, 166.54, 167.99, 165.37, 166.54
11/25/83, 167.18, 167.11, 166.80, 167.18
11/23/83, 166.96, 168.38, 165.27, 166.96
11/22/83, 166.84, 168.46, 165.06, 166.84
11/21/83, 166.05, 167.16, 163.88, 166.05
11/18/83, 165.09, 166.70, 163.63, 165.09
11/17/83, 166.13, 167.39, 164.58, 166.13
11/16/83, 166.08, 167.56, 164.45, 166.08
11/15/83, 165.36, 167.38, 164.36, 165.36
11/14/83, 166.58, 168.48, 165.25, 166.58
11/11/83, 166.29, 166.94, 163.61, 166.29
11/10/83, 164.41, 165.80, 163.06, 164.41
11/09/83, 163.97, 164.63, 161.12, 163.97
11/08/83, 161.76, 163.02, 160.60, 161.76
11/07/83, 161.91, 163.56, 160.88, 161.91
11/04/83, 162.44, 163.82, 161.35, 162.44
11/03/83, 163.45, 165.59, 162.71, 163.45
11/02/83, 164.84, 166.00, 162.81, 164.84
11/01/83, 163.64, 164.74, 163.64, 163.64
10/31/83, 163.55, 165.34, 161.99, 163.55
10/28/83, 163.37, 165.90, 162.44, 163.37
10/27/83, 164.84, 166.24, 163.19, 164.84
10/26/83, 165.38, 167.58, 164.54, 165.38
10/25/83, 166.47, 168.06, 165.16, 166.47
10/24/83, 165.99, 166.78, 162.96, 165.99
10/21/83, 165.95, 168.14, 164.11, 165.95
10/20/83, 166.98, 168.34, 165.43, 166.98
10/19/83, 166.73, 167.52, 165.77, 166.73
10/18/83, 167.81, 171.25, 166.87, 167.81
10/17/83, 170.43, 171.99, 168.73, 170.43
10/14/83, 169.86, 171.05, 168.22, 169.86
10/13/83, 169.88, 171.14, 168.40, 169.88
10/12/83, 169.63, 171.59, 168.37, 169.63
10/11/83, 170.34, 172.89, 169.65, 170.34
10/10/83, 172.65, 173.10, 169.30, 172.65
10/07/83, 170.80, 172.19, 169.26, 170.80
10/06/83, 170.28, 170.90, 167.26, 170.28
10/05/83, 167.74, 168.54, 165.00, 167.74
10/04/83, 166.27, 167.83, 164.79, 166.27
10/03/83, 165.80, 167.05, 163.94, 165.80
09/30/83, 166.07, 167.66, 164.77, 166.07
09/29/83, 167.23, 169.17, 166.46, 167.23
09/28/83, 168.01, 169.32, 166.76, 168.01
09/27/83, 168.43, 171.04, 161.71, 168.43
09/26/83, 170.07, 171.59, 168.41, 170.07
09/23/83, 169.51, 171.05, 168.03, 169.51
09/22/83, 169.76, 170.62, 167.26, 169.76
09/21/83, 168.41, 170.35, 167.24, 168.41
09/20/83, 169.25, 170.43, 167.38, 169.25
09/19/83, 167.62, 168.86, 165.70, 167.62
09/16/83, 166.24, 167.21, 163.70, 166.24
09/15/83, 164.38, 166.38, 163.65, 164.38
09/14/83, 165.36, 166.28, 163.67, 165.36
09/13/83, 164.80, 164.78, 164.19, 164.80
09/12/83, 165.48, 169.95, 164.59, 165.48
09/09/83, 166.92, 168.68, 165.97, 166.92
09/08/83, 167.77, 169.05, 166.16, 167.77
09/07/83, 167.96, 169.48, 166.17, 167.96
09/06/83, 167.89, 168.82, 165.80, 167.89
09/02/83, 165.00, 166.01, 163.52, 165.00
09/01/83, 164.23, 165.72, 162.81, 164.23
08/31/83, 164.04, 165.17, 161.65, 164.04
08/30/83, 162.58, 163.93, 161.23, 162.58
08/29/83, 162.25, 163.03, 160.16, 162.25
08/26/83, 162.14, 162.96, 159.62, 162.14
08/25/83, 160.84, 162.26, 159.20, 160.84
08/24/83, 161.25, 163.60, 160.45, 161.25
08/23/83, 162.77, 165.01, 161.64, 162.77
08/22/83, 164.34, 166.49, 163.07, 164.34
08/19/83, 163.98, 165.03, 162.28, 163.98
08/18/83, 163.55, 166.65, 162.89, 163.55
08/17/83, 165.29, 166.17, 162.58, 165.29
08/16/83, 163.41, 164.75, 161.78, 163.41
08/15/83, 163.71, 165.64, 162.56, 163.71
08/12/83, 162.16, 163.50, 160.70, 162.16
08/11/83, 161.55, 163.08, 160.33, 161.55
08/10/83, 161.54, 162.48, 158.74, 161.54
08/09/83, 160.13, 161.19, 157.62, 160.13
08/08/83, 159.18, 161.61, 158.29, 159.18
08/05/83, 161.74, 162.96, 159.98, 161.74
08/04/83, 161.33, 163.92, 158.96, 161.33
08/03/83, 163.44, 164.40, 160.60, 163.44
08/02/83, 162.01, 163.97, 160.96, 162.01
08/01/83, 162.04, 163.79, 160.46, 162.04
07/29/83, 162.56, 165.25, 160.64, 162.56
