Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,CHG_PCT_1D,VOLATILITY_30D
11/19/1928,23.37,23.37,23.37,23.37,0,12.32
11/20/1928,23.57,23.57,23.57,23.57,0.86,12.21
11/21/1928,23.22,23.22,23.22,23.22,-1.48,13.48
11/22/1928,23.52,23.52,23.52,23.52,1.29,13.79
11/23/1928,23.7,23.7,23.7,23.7,0.77,13.61
11/26/1928,23.8,23.8,23.8,23.8,0.42,13.61
11/27/1928,23.91,23.91,23.91,23.91,0.46,13.62
11/28/1928,24.19,24.19,24.19,24.19,1.17,13.85
11/29/1928,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.1
11/30/1928,24.28,24.28,24.28,24.28,0.37,13.69
12/3/1928,23.85,23.85,23.85,23.85,-1.77,15.24
12/4/1928,23.91,23.91,23.91,23.91,0.25,15.24
12/5/1928,23.81,23.81,23.81,23.81,-0.42,15.26
12/6/1928,22.91,22.91,22.91,22.91,-3.78,19.52
12/7/1928,22.36,22.36,22.36,22.36,-2.4,20.62
12/10/1928,22.31,22.31,22.31,22.31,-0.22,20.31
12/11/1928,22.74,22.74,22.74,22.74,1.93,21.01
12/12/1928,22.52,22.52,22.52,22.52,-0.97,20.9
12/13/1928,22.48,22.48,22.48,22.48,-0.18,20.9
12/14/1928,22.53,22.53,22.53,22.53,0.22,20.53
12/17/1928,22.44,22.44,22.44,22.44,-0.4,20.26
12/18/1928,22.7,22.7,22.7,22.7,1.16,20.51
12/19/1928,22.98,22.98,22.98,22.98,1.23,20.44
12/20/1928,23.07,23.07,23.07,23.07,0.39,20.37
12/21/1928,23.33,23.33,23.33,23.33,1.13,20.29
12/24/1928,23.54,23.54,23.54,23.54,0.9,20.43
12/25/1928,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20.82
12/26/1928,23.44,23.44,23.44,23.44,-0.42,20.83
12/27/1928,23.64,23.64,23.64,23.64,0.85,20.5
12/28/1928,23.98,23.98,23.98,23.98,1.44,20.95
12/31/1928,24.35,24.35,24.35,24.35,1.54,21.3
1/1/1929,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,21.06
1/2/1929,24.81,24.81,24.81,24.81,1.89,21.46
1/3/1929,24.86,24.86,24.86,24.86,0.2,21.38
1/4/1929,24.85,24.85,24.85,24.85,-0.04,21.37
1/7/1929,24.25,24.25,24.25,24.25,-2.41,22.88
1/8/1929,24.17,24.17,24.17,24.17,-0.33,22.61
1/9/1929,24.54,24.54,24.54,24.54,1.53,23.09
1/10/1929,24.58,24.58,24.58,24.58,0.16,22.65
1/11/1929,24.54,24.54,24.54,24.54,-0.16,21.88
1/14/1929,24.59,24.59,24.59,24.59,0.2,21.88
1/15/1929,24.23,24.23,24.23,24.23,-1.46,22.37
1/16/1929,24.56,24.56,24.56,24.56,1.36,18.8
1/17/1929,24.69,24.69,24.69,24.69,0.53,16.7
1/18/1929,24.77,24.77,24.77,24.77,0.32,16.59
1/21/1929,24.86,24.86,24.86,24.86,0.36,15.85
1/22/1929,25.07,25.07,25.07,25.07,0.84,15.35
1/23/1929,25.22,25.22,25.22,25.22,0.6,15.25
1/24/1929,25.06,25.06,25.06,25.06,-0.63,15.59
1/25/1929,25.48,25.48,25.48,25.48,1.68,15.85
1/28/1929,25.35,25.35,25.35,25.35,-0.51,15.98
1/29/1929,25.36,25.36,25.36,25.36,0.04,15.79
1/30/1929,25.45,25.45,25.45,25.45,0.35,15.79
1/31/1929,25.74,25.74,25.74,25.74,1.14,15.8
2/1/1929,25.84,25.84,25.84,25.84,0.39,15.71
2/4/1929,25.64,25.64,25.64,25.64,-0.77,15.92
2/5/1929,25.7,25.7,25.7,25.7,0.23,15.62
2/6/1929,25.49,25.49,25.49,25.49,-0.82,15.91
2/7/1929,24.71,24.71,24.71,24.71,-3.06,18.52
2/8/1929,24.44,24.44,24.44,24.44,-1.09,18.31
2/11/1929,24.98,24.98,24.98,24.98,2.21,18.63
2/12/1929,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,18.63
2/13/1929,24.95,24.95,24.95,24.95,-0.12,18.63
2/14/1929,24.85,24.85,24.85,24.85,-0.4,18.67
2/15/1929,24.35,24.35,24.35,24.35,-2.01,18.19
2/18/1929,24.39,24.39,24.39,24.39,0.16,18.16
2/19/1929,24.38,24.38,24.38,24.38,-0.04,17.54
2/20/1929,24.59,24.59,24.59,24.59,0.86,17.74
2/21/1929,24.86,24.86,24.86,24.86,1.1,18.04
2/22/1929,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,18.38
2/25/1929,24.91,24.91,24.91,24.91,0.2,17.72
2/26/1929,24.95,24.95,24.95,24.95,0.16,17.26
2/27/1929,25.25,25.25,25.25,25.25,1.2,17.56
2/28/1929,25.59,25.59,25.59,25.59,1.35,17.98
3/1/1929,25.83,25.83,25.83,25.83,0.94,18.14
3/4/1929,25.49,25.49,25.49,25.49,-1.32,18.55
3/5/1929,25.32,25.32,25.32,25.32,-0.67,18.6
3/6/1929,24.92,24.92,24.92,24.92,-1.58,19.16
3/7/1929,25.15,25.15,25.15,25.15,0.92,18.64
3/8/1929,25.31,25.31,25.31,25.31,0.64,18.69
3/11/1929,24.95,24.95,24.95,24.95,-1.42,19.21
3/12/1929,24.97,24.97,24.97,24.97,0.08,19.17
3/13/1929,25.24,25.24,25.24,25.24,1.08,19.13
3/14/1929,25.73,25.73,25.73,25.73,1.94,20.07
